content_hash_id,refresh_score,gsc_clicks,gsc_impressions,gsc_avg_position,days_since_update,priority
content_f3e75803cd233d7d,1.0,0,0,,97,High
content_c0f1e59561c99393,1.0,0,1,50.0,97,High
content_4569ffad6e21c2de,1.0,0,521,3.7600767754318616,-24,High
content_08a5bdf20333131c,1.0,0,3,1.3333333333333333,97,High
content_97f37f355cf34c2f,1.0,0,0,,97,High
content_c647ddff2d12efd7,1.0,2,518,53.73938223938224,97,High
content_0703380c344267d2,1.0,0,7,11.714285714285714,97,High
content_89ae2aa5cb8a43e2,1.0,0,0,,97,High
content_475515f4966d0ad6,1.0,0,57,29.70175438596491,97,High
content_370ff784841b88ce,1.0,0,0,,97,High
content_49b339a635620551,1.0,0,0,,97,High
content_161d9b42614bddbd,1.0,0,36,6.083333333333333,-27,High
content_c5bbb82af01ae255,1.0,0,0,,97,High
content_0f0c4d121b9d4aa5,1.0,0,0,,97,High
content_6e8e15f18dec5f6e,1.0,0,0,,97,High
content_e9357ca9d81570b9,1.0,3,865,21.009248554913295,-13,High
content_02554dcd437a5c6c,1.0,0,1,95.0,97,High
content_1b77cd1efab8b35a,1.0,0,0,,97,High
content_fadd7213fd7aad4b,1.0,0,0,,97,High
content_fb370865d91a5906,1.0,0,0,,97,High
content_3f9d47e19e63bcc7,1.0,0,0,,97,High
content_55da83799a49491c,1.0,0,0,,97,High
content_ab79dbf75c2084c2,1.0,0,0,,97,High
content_865983ff4ec5c16b,1.0,0,31,30.741935483870968,97,High
content_904f7b1354b5210e,1.0,0,112,12.419642857142858,-13,High
content_26c898272dc49cc1,1.0,0,0,,97,High
content_6abdd387859dd4a1,1.0,0,0,,97,High
content_a13dc71c584ed642,1.0,0,0,,97,High
content_7cfaedce53a5dde2,1.0,0,37,12.54054054054054,-24,High
content_2bbe169a298f5f36,1.0,0,1,4.0,97,High
content_f8246d4ffa88b513,1.0,0,0,,97,High
content_5170a31a63f8fd79,1.0,0,0,,97,High
content_d310973784d7e057,1.0,0,0,,97,High
content_282a4afdf27795ee,1.0,0,2,63.0,97,High
content_e1b7778910667fa4,1.0,0,117,6.931623931623932,-27,High
content_de1a826cca1d4b0f,1.0,0,0,,97,High
content_907ea9ba9b787a4d,1.0,0,29,17.586206896551722,97,High
content_e2bf0fa74cb4c14a,1.0,0,1,5.0,97,High
content_94169e769c7ee65a,1.0,0,42,15.452380952380953,-28,High
content_fb61ce17a12b8a8c,1.0,0,0,,97,High
content_f82adb7fea30ad4f,1.0,0,0,,97,High
content_5dfe6b8ddb1c74ae,1.0,0,7,89.14285714285714,97,High
content_c8be8e541c332635,1.0,0,0,,97,High
content_76b4545fe0604aa6,1.0,0,0,,97,High
content_649ba28f94b743a0,1.0,0,0,,97,High
content_17bc47171a478dd0,1.0,0,0,,97,High
content_c07b428bbc9d4ca3,1.0,0,33,12.333333333333334,97,High
content_48825967c0979b37,1.0,0,0,,97,High
content_7a1539e2078209ee,1.0,0,11,17.0,97,High
content_1235bd0685047afa,1.0,0,0,,97,High
content_0f004917edaa278c,1.0,0,0,,97,High
content_253c8424ca1515ff,1.0,0,0,,97,High
content_6a6451c0f26ff652,1.0,0,97,6.360824742268041,-27,High
content_4c40029e14bb192f,1.0,0,134,11.567164179104477,13,High
content_0ab3c57920510e8a,1.0,0,20,60.45,97,High
content_0accdc1064cefc5d,1.0,0,1,29.0,97,High
content_68dd4f7e4e452d52,1.0,0,1,26.0,97,High
content_3da8cbeb11fe8682,1.0,0,171,35.44444444444444,97,High
content_9a110ffaecc075e1,1.0,0,0,,97,High
content_7d2b29a2b6de6f86,1.0,0,167,12.131736526946108,-13,High
content_fcc398a2fb1e6679,1.0,0,0,,97,High
content_5278e42d08c3d4fc,1.0,0,0,,97,High
content_ef2c3e87e35f79c1,1.0,0,0,,97,High
content_7692b4b1ac62ada8,1.0,0,30,22.3,97,High
content_2eca6a90d7b19b67,1.0,0,0,,97,High
content_a5d705917acf9a4d,1.0,0,20,58.75,97,High
content_58bf4ac83149b2e7,1.0,0,1,86.0,97,High
content_4ad01e35b99e12a1,1.0,0,0,,97,High
content_e8be016907340387,1.0,0,273,22.54945054945055,-13,High
content_0624639f874d5630,1.0,0,496,6.955645161290323,-13,High
content_17e1f9590767a167,1.0,1,226,52.982300884955755,97,High
content_d226d6c64f69cb42,1.0,0,0,,97,High
content_34b0f9a09acaf9cd,1.0,0,1,7.0,97,High
content_a5aabba0c4f1b6df,1.0,0,1,85.0,97,High
content_ada1b747788ae1c0,1.0,0,14,15.571428571428571,97,High
content_b3437172c6b7ec91,1.0,0,4,17.75,97,High
content_5f30a1259a0f96e6,1.0,0,0,,97,High
content_fbd8ab3ddc5e17e2,1.0,0,23,31.434782608695652,97,High
content_b3261121d8ee52a4,1.0,0,58,22.517241379310345,-13,High
content_ae5bfc3d1651d07c,1.0,0,3,27.666666666666668,97,High
content_02d8c0ef7cdecee5,1.0,0,6,8.5,97,High
content_ecbc72c4e65c4466,1.0,0,834,57.148681055155876,-24,High
content_447c5718830be959,1.0,1,122,22.901639344262296,97,High
content_05a11de6f16ddecd,1.0,0,26,27.615384615384617,97,High
content_aa460142942bf9cc,1.0,1,87,38.59770114942529,97,High
content_b1bef558fa7ad547,1.0,0,0,,97,High
content_e7725d239a7b5ce9,1.0,0,9,28.666666666666668,97,High
content_47b986658854e941,1.0,0,1,5.0,97,High
content_8f0577c665594af3,1.0,0,15,28.266666666666666,97,High
content_18170d741f762e12,1.0,0,9,19.555555555555557,97,High
content_00e13c741a80a767,1.0,0,1339,22.793876026885737,-13,High
content_22552672683ab1a9,1.0,0,0,,97,High
content_ac03d4cea6022b01,1.0,0,2,4.0,97,High
content_9ad806a9c2016af6,1.0,0,0,,97,High
content_4f9d18d7ab1d4734,1.0,0,3,3.3333333333333335,97,High
content_43653a49cc693138,1.0,0,5,19.6,97,High
content_dc942617bfea659d,1.0,0,0,,97,High
